MV Material Name,AusGeochem Material Name
Quartz biotite gneiss,Gneiss
Dacitic Ash-Flow,Dacite
Phonolite tuff,Phonolite
Mineral Pitch,NA
Tourmaline Aplite,Aplite
Meta-Diorite,Diorite
Mineral Oil,NA
Metamorphosed Arkose,Metasedimentary rock
Porphyritic Breccia,Breccia
Clinopyroxene Basalt,Basalt
Sanidine Syenite Porphyry,Syenite
Mineral concentrates,NA
Dolerite Porphyry,Dolerite
Diabase Porphyry,Diabase
Coal Shale,Coal
Glacial Conglomerate,Conglomerate
Micaceous quartz reef,Rock of restricted mineralogy
Micaceous Lava,Igneous rock
Nepheline-Sodalite Syenite,Syenite
Indurated Mudstone,Mudstone
Meteoric Silica Glass,Impactite
Scoriaceous Basalt,Basalt
Bituminous Schist,Schist
Trachytic lava,Trachyte
Andesite Breccia,Breccia
Nepheline Syenite Porphyry,Syenite
Amphibole Microcline Gneiss,Gneiss
Quartz Andesite,Andesite
Amphibolite Schiat,Amphibolite
Amphibole Biotite Feldspar Gneiss,Gneiss
Meta-Siltstone,Metasiltstone
Chrondrodite Molybdenite Skarn,Skarn
Clay-slate,Slate
Meta-Gypsum,Rock of restricted mineralogy
Meta-Diabase,Metadolerite
Diabase Breccia,Breccia
Ottrelite Muscovite Schist,Schist
Merensky Reef,Cumulate
Quartz Feldspar Sericite Schist,Schist
Massive Hematite,Rock of restricted mineralogy
Leucopetrite,Felsite
Tholeiitic Basalt 'Greenstone',Basalt
Tourmaline Garnet Pegmatite,Pegmatite
Breccia Conglomerate,Conglomerate
Cumulate Dunite,Dunite
Lava,Igneous rock
Ferruginous Quartz Grit,Sandstone
Brecciated Jaspilite,Breccia
Laminated quartz,Rock of restricted mineralogy
Eudialyte Amphibole Hiortdahlite Thorite Gneiss,Gneiss
Silicified Grit,Sandstone
Sheared Pebbles,Pebbles
Kimberley Reef,Gold Ore
Quartz Syenite,Syenite
Paraffin Coal,Coal
Latite Porphyry,Latite
Keuper Marl,Marl
Shale Oil,Shale
Indicator,Sedimentary rock
Coal Nodule,Coal
Chert Conglomerate,Conglomerate
Calcareous Sandstone,Sandstone
Quartzite Breccia,Breccia
Quartz Syenite Porphyry,Syenite
